id;eh_empresa;razao_social;cnpj;cpf;data_cadastro;data_nascimento;descricao
1;true;Indian Rupee bluetooth;Club Nebraska;Nevada quantify architectures;2019-10-15;2019-10-15;viral
2;true;Home Loan Account Grass-roots;Director Personal Loan Account;Music;2019-10-15;2019-10-15;Multi-tiered Pizza
3;false;scalable;Unbranded Fresh Car;Andorra;2019-10-15;2019-10-15;Executive Regional Wisconsin
4;true;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;2019-10-15;2019-10-15;orchestration channels Buckinghamshire
5;false;Metal Auto Loan Account;Awesome;Sausages Haven;2019-10-15;2019-10-15;frictionless
6;false;Bahamas;Manager open architecture;Gorgeous Metal Shoes;2019-10-15;2019-10-15;Place users
7;false;Configuration;parse infrastructures Mobility;Implementation Shirt Unbranded Soft Fish;2019-10-15;2019-10-15;back-end synthesizing override
8;true;hacking;open-source;payment National;2019-10-15;2019-10-15;whiteboard indexing
9;false;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;2019-10-15;2019-10-15;Bouvet Island (Bouvetoya) experiences
10;false;array Belize Dollar;optical;Borders reboot;2019-10-15;2019-10-15;Cheese orchestration Robust
